Video ID,Comment ID,Comment Link,Commenter Name,Commenter ID,Comment,Likes,Cleaned_Comment,Sentiment
sB7fSPbYFJg,Ugz3NR4jt0YGHm6KjYR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz3NR4jt0YGHm6KjYR4AaABAg,@coosenoness,UCD_ZjzHHjYGAhX2OLd1AaOA,"trnytaa 10th yg lalu itu gak jadul² bgtt yaa,editan vid nyaa udah cakep bgtt sbelum ada ai² yg skrngg kerenn bangg aslii pdhal 10th yg lalu👍😭",1,trnytaa th yang lalu itu tidak jadul bgtt yaa editan vid nyaa udah cakep bgtt sbelum ada ai yang skrngg kerenn bangg aslii pdhal th yang lalu,Neutral
sB7fSPbYFJg,UgyrXWmAeuwu49LBdTF4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyrXWmAeuwu49LBdTF4AaABAg,@TiaranovaLubis,UCJnwE1fN6JBXwrf6_-NJhGg,vidio 10 thn yg lalu,0,vidio thn yang lalu,Neutral
sB7fSPbYFJg,Ugxo4iGRqFdvQc-GQ6p4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugxo4iGRqFdvQc-GQ6p4AaABAg,@eiyaza,UCQGWwP_7ENNWX5WAHHgdU2A,"14ribu aja kaget,apalagi 18ribu,apa ga serangan jantung nih",0,ribu saja kaget apalagi ribu apa tidak serangan jantung nih,Neutral
sB7fSPbYFJg,UgzVIq5JUbidvyRgCAt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzVIq5JUbidvyRgCAt4AaABAg,@hawwaje,UCTR6RdghAfrAYh-G4ZeLZ0A,10 years ago,1,years ago,Neutral
sB7fSPbYFJg,UgxxSyZxIC4cgc1g0jR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxxSyZxIC4cgc1g0jR4AaABAg,@sccovers5725,UCyZuKdFbE95buJ0avyGqWFA,"Bjirrr udah dialgoritma ternyata, 10 tahun lalu",0,bjirrr udah dialgoritma ternyata tahun lalu,Neutral
sB7fSPbYFJg,UgxHos2CrHqXqfHYBFd4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxHos2CrHqXqfHYBFd4AaABAg,@RozakElek,UCxX5IzcrY5ZkaWBJxKqXheA,Sekarang aja 1 dollar AS 18.500 🤣🤣🤣,1,sekarang saja dollar as,Neutral
sB7fSPbYFJg,UgyacYSslg_b3077Yv94AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyacYSslg_b3077Yv94AaABAg,@PAN-m3o,UCe_zrPOa4wHgfyW5KRrwXVw,njir gw kira 10 jam yabg lalu. Ternyata 10 tahun lalu,1,njir gw kira jam yabg lalu ternyata tahun lalu,Neutral
sB7fSPbYFJg,UgzWwhv7kpqepa-2_up4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzWwhv7kpqepa-2_up4AaABAg,@AsanTurYT,UCruMocK2p86y3dgYUNG2-6g,"Buset, Agustus 2015 pas rupiah masih 13 ribuan jir, tapi sekarang...🥲",2,buset agustus pas rupiah masih ribuan jir tapi sekarang,Neutral
sB7fSPbYFJg,UgzwyXsZibmfj2B-Nnt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzwyXsZibmfj2B-Nnt4AaABAg,@DJOKA_GAMING,UChvW03b8jXUeT2A9b5zzVHw,Ko muncul diberanda gw,0,ko muncul diberanda gw,Neutral
sB7fSPbYFJg,UgxbMHzvORV1LTvcAIJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxbMHzvORV1LTvcAIJ4AaABAg,@Urlovedfriend,UC6hn1SV66GncgcA6QMt-v9Q,"Busett, kirain 10 jam lalu, ternyata 10 tahun, rupiah emg se lemah ini ya.",2,busett kirain jam lalu ternyata tahun rupiah emg se lemah ini ya,Neutral
sB7fSPbYFJg,UgwAEAbMckpu4ACKu-54AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwAEAbMckpu4ACKu-54AaABAg,@fitrimeilani4448,UCJvNOwrwzRNljJh0j4LkACw,sekarang 18ribu😂,2,sekarang ribu,Neutral
sB7fSPbYFJg,UgzeX4-HNyk1c40CkPx4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzeX4-HNyk1c40CkPx4AaABAg,@Jiyarti75,UC6Y6C-uDtpAPnP1-z6LPwCw,Wah itu mah masih mending sekarang mah lebih parah,3,wah itu mah masih mending sekarang mah lebih parah,Negative
sB7fSPbYFJg,UgyHr1Gw5RyCHMjkYqt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyHr1Gw5RyCHMjkYqt4AaABAg,@Alfi_akihifo,UCDKQkUaJqfds3CfxCqly_UA,Manusia perkampungan be like: orang desa nggak pakek dolar kok 🗿,0,manusia perkampungan be like orang desa tidak pakek dolar kok,Neutral
sB7fSPbYFJg,Ugwh8Xk5JrRXq2ekOzt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugwh8Xk5JrRXq2ekOzt4AaABAg,@isntdyypa9745,UC1iqJJMt6FSyC1yiYrGZAmg,10 tahun yang lalu ternyata🥀🥀,2,tahun yang lalu ternyata,Neutral
sB7fSPbYFJg,Ugwx3M8cuYythdP3FkR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugwx3M8cuYythdP3FkR4AaABAg,@Liver96Q,UCewcZ9Ip0QXSnmWHLKkd6xg,"Lah 10 tahun yang lalu, pantesan agak beda dub nya",0,lah tahun yang lalu pantesan agak beda dub nya,Neutral
sB7fSPbYFJg,UgyXfpbZC_9ZCSWV69F4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyXfpbZC_9ZCSWV69F4AaABAg,@mynameisvieren,UClkQZGgL_4ngBT_Ho1OJUfw,WTF 10tahun lalu?...,0,wtf tahun lalu,Neutral
sB7fSPbYFJg,UgxvTqbW0_wmWWSBs-R4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxvTqbW0_wmWWSBs-R4AaABAg,@RIDHO.FAHLEVI,UC8_J4o1irwUK3Uxx9oZhwwg,Sepuluh tahun lalu emg rupiah kta selemah apa y,0,sepuluh tahun lalu emg rupiah kta selemah apa y,Neutral
sB7fSPbYFJg,UgwI7pNOiHX5sZplbax4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwI7pNOiHX5sZplbax4AaABAg,@FarGz-o8j8d,UCESJayGtYlqJO-eTmMheggw,muncul nya juni 2026,0,muncul nya juni,Neutral
sB7fSPbYFJg,UgwSzCBDWyPa1lER_ml4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwSzCBDWyPa1lER_ml4AaABAg,@Rizminecraft009,UC9OQN_XNMwd89M4RJsIZeMQ,Behh lewatnya pas 10 tahun kemudian bro..,0,behh lewatnya pas tahun kemudian bro,Neutral
sB7fSPbYFJg,UgxEBZ_15xYsf3fWo3h4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxEBZ_15xYsf3fWo3h4AaABAg,@rahmanmaulana3801,UCj9EkDgiEVEsNHdRdTZLlwA,Muncul lagi videonya setelah 10 tahun,0,muncul lagi videonya setelah tahun,Neutral
sB7fSPbYFJg,UgyAx0VIY_kHwnxd4YV4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyAx0VIY_kHwnxd4YV4AaABAg,@VeEz1EY-o4y,UCOwOM1Jxlx0Plu8n-w3_GyQ,Muncul di beranda yutube gw bukan gw yang nyari😹😹,0,muncul di beranda yutube gw bukan gw yang nyari,Neutral
sB7fSPbYFJg,UgwlIJr2opk4KCKSEDx4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwlIJr2opk4KCKSEDx4AaABAg,@miothegamer-123,UCb5P2yj2632xKTwl8tC3gjQ,bro lupa mengembalikan mesin waktunya ke doraemon,0,bro lupa mengembalikan mesin waktunya ke doraemon,Neutral
sB7fSPbYFJg,UgxEuA2UqSC_2ga_yL54AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxEuA2UqSC_2ga_yL54AaABAg,@ADX.Guntur,UCN-s-erew0Q5LLMIwkTvkNA,Bang sekarang udh turun banget,0,bang sekarang sudah turun banget,Negative
sB7fSPbYFJg,Ugwt-a0P1eB_5Qf-DY94AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugwt-a0P1eB_5Qf-DY94AaABAg,@itssalma361,UCBnLEzJWEK6rB3jZ6U-suwA,Kok muncul sih?,0,kok muncul sih,Neutral
sB7fSPbYFJg,UgwZwecxKhcd4ZHDpBV4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwZwecxKhcd4ZHDpBV4AaABAg,@ZiandNurrahman,UC82F55k9pQfHLkZ7vHGMxfA,YouTube: yo Ndak tau ko nanya saya,0,youtube yo ndak tau ko nanya saya,Neutral
sB7fSPbYFJg,UgxexQfF1ncRmG-FBlB4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxexQfF1ncRmG-FBlB4AaABAg,@AlfianNevan,UCMvgV53wdgvzaWPyaIyjiWg,Telat 10 tahun gk ngaruh😅,0,telat tahun gk ngaruh,Neutral
sB7fSPbYFJg,UgyH_Y3WnPGw4uxe3ox4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyH_Y3WnPGw4uxe3ox4AaABAg,@MutiaRarani1702,UCazoYAiZK_PBgnvPOOZFCbw,&quot;HOLY TIMING&quot; AHH VIDEO🗣🔥🔥🔥,0,holy timing ahh video,Neutral
sB7fSPbYFJg,UgzKZAhxIlQPN8ZuZrd4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzKZAhxIlQPN8ZuZrd4AaABAg,@Winnersholeh,UCKvpepu0Q1ihyooT77guPzQ,part 2?,0,part,Neutral
sB7fSPbYFJg,UgwDHJa00A1RT2rlHhd4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwDHJa00A1RT2rlHhd4AaABAg,@onyourlast,UCXQy59AUKG8qFmalgiwqliw,"Bang, tolong update lagi. Sekarang udah 18k lewatt",0,bang tolong update lagi sekarang udah k lewatt,Neutral
sB7fSPbYFJg,UgzYmmhWxHNnW_P9Avx4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzYmmhWxHNnW_P9Avx4AaABAg,@anisnurmainis7823,UCsc1u7vr2tpwqf-tUBQEN0g,Vidio old naik lagi😅😂,0,vidio old naik lagi,Neutral
sB7fSPbYFJg,UgxXA-R5BlnBZ0J1Btl4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxXA-R5BlnBZ0J1Btl4AaABAg,@LampuNeonLED,UCwHwyCT4DpvwiYpS7-wn3TQ,𝙳𝚊𝚖𝚗 𝚊𝚕𝚐𝚘𝚛𝚒𝚝𝚖𝚊 𝚢𝚘𝚞𝚝𝚞𝚋𝚎 𝚐𝚒𝚕𝚊 𝚋𝚐𝚝,1,,Neutral
sB7fSPbYFJg,UgwtCMKLBxWyy6_rdg54AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwtCMKLBxWyy6_rdg54AaABAg,@Itsme_calya,UCwAmd_FjRmZf18QCK-aakSQ,KOK ALGORITMA YT TAU ANJIR,1,kok algoritma yt tau anjir,Neutral
sB7fSPbYFJg,UgwNpFRm-jQJmRTkpfx4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwNpFRm-jQJmRTkpfx4AaABAg,@wilzzz_xX,UCrB0Nhq3q939Ov5NGdLJEpg,"kirain baru upload, rupanya udah 1 dekade yang lalu😂😂",2,kirain baru upload rupanya udah dekade yang lalu,Neutral
sB7fSPbYFJg,Ugx0Rq31zJsCyum_avJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugx0Rq31zJsCyum_avJ4AaABAg,@zeaorze,UCFDr3vzh-OcVz3Ug_bs4nnQ,10 tahun yang lalu🥀,1,tahun yang lalu,Neutral
sB7fSPbYFJg,UgxIVvv8o9Q-Fvj-0K14AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxIVvv8o9Q-Fvj-0K14AaABAg,@zeaorze,UCFDr3vzh-OcVz3Ug_bs4nnQ,10 tahun yang lalu🥀,1,tahun yang lalu,Neutral
sB7fSPbYFJg,UgxdafWgw-kvMl3CG4F4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxdafWgw-kvMl3CG4F4AaABAg,@NURIMAM301,UCyiQkmKh58WBQoGHr_QNTjw,Udah hampir 19k 🗿,2,udah hampir k,Neutral
sB7fSPbYFJg,UgzyV2Uz6TytsLqGnzp4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzyV2Uz6TytsLqGnzp4AaABAg,@aldricganteng-h7i9h,UCPetpu8QScT0Cn__tfJ8bNQ,Bro meramalkan,1,bro meramalkan,Neutral
sB7fSPbYFJg,UgwucrIj80JlR5xiYqh4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwucrIj80JlR5xiYqh4AaABAg,@caveein,UCdQG1G_QbZXhbV47tDNk4Ww,after 10 years....,2,after years,Neutral
sB7fSPbYFJg,Ugz5kaGRSe0goGocZJR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz5kaGRSe0goGocZJR4AaABAg,@partad-i1o,UCi4zWrRh2bUMYaiFyXaHejQ,Anjir 10 tahun yg lalu 😂😂😂😂,1,anjir tahun yang lalu,Neutral
sB7fSPbYFJg,Ugz0I2Jo_spF4o3qK7x4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz0I2Jo_spF4o3qK7x4AaABAg,@ok_ajalaya,UCXitQzJryOqpKuab3IAItBA,algoritma YouTube,1,algoritma youtube,Neutral
sB7fSPbYFJg,Ugxh_V5nRxIZuIAg0vZ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugxh_V5nRxIZuIAg0vZ4AaABAg,@Muh.Takdir99,UCmSF_CJeilR3sXFqQOHx4Tg,skrng rupiah tembus 18ribu per 1 dolar wkwk,1,skrng rupiah tembus ribu per dolar wkwk,Neutral
sB7fSPbYFJg,Ugz_W82TkOgYvSYy0DJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz_W82TkOgYvSYy0DJ4AaABAg,@choco01-h7f,UCR0-k5Ek-Ml5r3pktyzas6Q,alamak 10 tahun yang lalu😮,1,alamak tahun yang lalu,Neutral
sB7fSPbYFJg,Ugz8Ow1FmGpgiVuzZH54AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz8Ow1FmGpgiVuzZH54AaABAg,@DimasSafariZzZ,UCLufECBQhtIxl-IZaSkbFQg,"gw kira 10 hari lalu cok,🗿",2,gw kira hari lalu cok,Neutral
sB7fSPbYFJg,UgwaRcGRxRUEWigUdIB4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwaRcGRxRUEWigUdIB4AaABAg,@valirlegend357,UCG7Q5e_vn4_eQdYAR-7cfaA,"Iya YouTube, saya sangat tertarik😮",0,iya youtube saya sangat tertarik,Neutral
sB7fSPbYFJg,UgxTFUdDaRZ1Miioy7Z4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxTFUdDaRZ1Miioy7Z4AaABAg,@lexnour_anims-yo5ep,UCVggbaAiPlJoqJGgFmQqxbg,"Hai, saya dari masa depan dan sekarang 1 dollar sama dengan 25,000 RP",0,hai saya dari masa depan dan sekarang dollar sama dengan rp,Neutral
sB7fSPbYFJg,UgzOeXh2Zhv2jOcROyF4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzOeXh2Zhv2jOcROyF4AaABAg,@HelloFresh-dz1ep,UCh8Rhv3obMS5KeiQpo3CgIQ,AHHHH,0,ahhhh,Neutral
sB7fSPbYFJg,Ugy6jtxMicUZmmu03EZ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugy6jtxMicUZmmu03EZ4AaABAg,@ybtar,UCugwgTqY5BBSoPFNUckTvYg,ga mungkin dong tiba tiba lewat gitu aja?,0,tidak mungkin dong tiba tiba lewat gitu saja,Neutral
sB7fSPbYFJg,UgwHVtjZaceZixkwYeR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwHVtjZaceZixkwYeR4AaABAg,@Evilyn_10,UCyZDIZBVY8Z30ozcVOhD8IA,real peramal masa depan💀💀💀,1,real peramal masa depan,Neutral
sB7fSPbYFJg,UgzVHyKWjD5eAdMQeyl4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzVHyKWjD5eAdMQeyl4AaABAg,@Emenem_npl,UCJ7MWZqeTkRF_tTez7Qsb_Q,cukup internet hari ini dawgh🥀,0,cukup internet hari ini dawgh,Neutral
sB7fSPbYFJg,Ugx0oyFPu5HAE39O2M94AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugx0oyFPu5HAE39O2M94AaABAg,@telesal-q4g,UCAHkgwsVV4JKZ5QDucwGnxg,loh loh 10 tahun yang lalu😂😂,0,loh loh tahun yang lalu,Neutral
sB7fSPbYFJg,UgymBVHT_ltknAvMTNR4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgymBVHT_ltknAvMTNR4AaABAg,@pabloescrobrar,UCxocByfkCMEqHQb75F8McpA,siapa sangka malah makin lemah,0,siapa sangka malah makin lemah,Neutral
sB7fSPbYFJg,Ugx1GH7xi8k4OUg5yM94AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugx1GH7xi8k4OUg5yM94AaABAg,@ju_0301,UC3xkyXWg5AkE8Jhp3r09wkQ,"10 tahun lalu?DAMN BARU MAU BILANG &quot;gak tau,pikir atuh kenapa bisa lemah&quot;",0,tahun lalu damn baru mau bilang tidak tau pikir atuh kenapa bisa lemah,Neutral
sB7fSPbYFJg,UgzpSfdk5lEY7flQ3ih4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzpSfdk5lEY7flQ3ih4AaABAg,@Infinixindonesia000,UCcZnZGfGpKfj3SNuI9bBUzQ,kok bisa lewat beranda YouTube,0,kok bisa lewat beranda youtube,Neutral
sB7fSPbYFJg,Ugym3ErDcZiJ1Gb7eEJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugym3ErDcZiJ1Gb7eEJ4AaABAg,@Caca-lf7si,UC_A1CJEMLe7unOb4nhFrAFw,"Juni 2026, menyentuh 18.000",0,juni menyentuh,Neutral
sB7fSPbYFJg,UgyoaNB_u-zzw0UZNnt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyoaNB_u-zzw0UZNnt4AaABAg,@kylee.y,UCuNWM8ufVlSSmKCLlN4CP_A,kirain 10 hari yang lalu jirr,0,kirain hari yang lalu jirr,Neutral
sB7fSPbYFJg,UgwLl663K_asVT3XUtt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwLl663K_asVT3XUtt4AaABAg,@yanzz679,UCM21ICFvVCn8X5-eXb1rOTA,Bruuh💀 sibro sudah memprediksinya,0,bruuh sibro sudah memprediksinya,Neutral
sB7fSPbYFJg,UgwU4-UGK1tiFJFsfOZ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwU4-UGK1tiFJFsfOZ4AaABAg,@dandyngana47,UCJuSkLci0ZREQDR_3swQqDg,Kok bisa sih video 10 tahun lalu tiba² lewat lagi,1,kok bisa sih video tahun lalu tiba lewat lagi,Neutral
sB7fSPbYFJg,UgzzUQlrz_UVVdZ588B4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzzUQlrz_UVVdZ588B4AaABAg,@PANGGILGWREPLIN,UC4Dv3Ib7sPLwVL-bKP8qlCA,"Pertanda apa ini? Kaget , in konten beliau 10Tahun lalu ,Saya kira 10Jam lalu 🧘‍♀️",0,pertanda apa ini kaget in konten beliau tahun lalu saya kira jam lalu,Neutral
sB7fSPbYFJg,Ugyek-CdnJn6hGskW3V4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugyek-CdnJn6hGskW3V4AaABAg,@Aril-aye,UC5UarL3VUhkKcbdNOR-1PGA,Ni konten lebih tua dari pada adik gua jir🗿👍🏻👍🏻,0,ni konten lebih tua dari pada adik gua jir,Neutral
sB7fSPbYFJg,UgyszGfhCvNKnMMiaot4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyszGfhCvNKnMMiaot4AaABAg,@yzxcv234,UCM8kWRPXkddN9ibmuvjkZFA,wkwkwk muncul dalam waktu yang pas,0,wkwkwk muncul dalam waktu yang pas,Neutral
sB7fSPbYFJg,UgwAC8ETclVfurAYxlJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwAC8ETclVfurAYxlJ4AaABAg,@CHERRYZZ_.2015,UCID4GEgvGB3uGs4LavDEC5w,bro ini bukan kebetulan lewat di beranda ku kan?KAN KAN KAN?,0,bro ini bukan kebetulan lewat di beranda ku kan kan kan kan,Neutral
sB7fSPbYFJg,UgxF_0dkc2Wm79QjdLx4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxF_0dkc2Wm79QjdLx4AaABAg,@Faniedit2,UCtINfWYHtqTfTyeQ0FMCkTg,"Sengaja bgt kyknya YouTube, biar lewat di beranda...",0,sengaja banget kyknya youtube biar lewat di beranda,Neutral
sB7fSPbYFJg,Ugys2zBrMNWFybzvIGt4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugys2zBrMNWFybzvIGt4AaABAg,@anfchannel15,UC0IsttJY7eR4-Ru_dXWqctA,Tahun berapa ini anying,0,tahun berapa ini anying,Neutral
